dataset,channel,fs_hz,peak_hz,mean_hz,fmax_eff_hz,n_samples
fracture,Load cell,5000.000000011653,204.46777343797655,287.26048782129476,500.0,128000
fracture,IMU ax,3534.220885400327,203.20044397260185,209.67722054114643,500.0,1060264
fracture,IMU ay,3534.220885400327,203.20044397260185,205.55167199707716,500.0,1060264
fracture,IMU az,3534.220885400327,203.20044397260185,251.8589299021629,500.0,1060264
