time_s,ax_m_s2,ay_m_s2,az_m_s2
0.017329700000118464,2.1410148345947264,-9.625887774658203,-2.1595698974609374
0.030218500003684312,2.1505916412353514,-9.630077627563477,-2.142810485839844
0.04285550001077354,2.142810485839844,-9.585784896850585,-2.1583727966308595
0.05344460002379492,2.194884371948242,-9.603142858886718,-2.1248539733886718
0.06952770001953468,2.194884371948242,-9.604339959716796,-2.1517887420654294
0.08363390000886284,2.146401788330078,-9.600748657226562,-2.1320365783691404
0.0984667000011541,2.1224597717285154,-9.592368951416015,-2.120065570068359
0.11230950002209283,2.1541829437255857,-9.610924014282226,-2.094926452636719
0.13357850001193583,2.1434090362548828,-9.62109937133789,-2.123656872558594
0.15234540001256391,2.174533657836914,-9.59536170349121,-2.139219183349609
0.17276070002117194,2.1912930694580077,-9.600150106811522,-2.155380044555664
0.19621360002201982,2.1422119354248044,-9.629479077148437,-2.1619640991210938
0.2176270000054501,2.1823148132324217,-9.627683425903319,-2.0979192047119137
0.23079410000354983,2.133233679199219,-9.571419686889648,-2.138022082519531
0.25116340001113713,2.127248175048828,-9.593566052246093,-2.1422119354248044
0.2754313000186812,2.1787235107421874,-9.600150106811522,-2.1116858642578125
0.2986105000018142,2.175132208251953,-9.635464581298828,-2.1158757171630858
0.3208248000009917,2.1721394561767577,-9.597157354736327,-2.152387292480469
0.34435140001005493,2.156577145385742,-9.586383447265625,-2.138022082519531
0.3673111000098288,2.1595698974609374,-9.616909518432617,-2.155978594970703
0.39047840001876466,2.1218612213134764,-9.628281976318359,-2.157175695800781
0.413355099997716,2.1446061370849607,-9.610924014282226,-2.118269918823242
0.43445660002180375,2.1619640991210938,-9.635464581298828,-2.1158757171630858
0.45381730000372045,2.1883003173828124,-9.616909518432617,-2.1344307800292968
0.4767788000172004,2.1978771240234374,-9.591770401000977,-2.129642376708984
0.49960160002228804,2.15777424621582,-9.634267480468749,-2.1164742675781247
0.5200490000133868,2.1691467041015624,-9.618106619262695,-2.0781670410156248
0.5411397000134457,2.133832229614258,-9.618106619262695,-2.089539498901367
